epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3058.7,0.58792,1.12233,1.06067,0.67074,0.6022,0.65539,0.53276,0.53237,1.18519,0.97967,0.00864498,0.00864498,0.00864498
43,3130.13,0.57307,1.10218,1.05197,0.75462,0.60456,0.68812,0.56134,0.50916,1.13608,0.96638,0.00861193,0.00861193,0.00861193
44,3203.52,0.56601,1.06448,1.04734,0.71265,0.59448,0.67406,0.55629,0.53532,1.21228,0.98077,0.00857888,0.00857888,0.00857888
45,3275.57,0.56242,1.07322,1.04242,0.65476,0.65338,0.69626,0.57412,0.50888,1.1138,0.96343,0.00854583,0.00854583,0.00854583
46,3348.1,0.55988,1.04979,1.0373,0.64629,0.66453,0.67862,0.55894,0.51088,1.15467,0.9639,0.00851278,0.00851278,0.00851278
47,3419.56,0.55793,1.02342,1.03802,0.68972,0.6507,0.70099,0.58413,0.49544,1.04824,0.9589,0.00847973,0.00847973,0.00847973
48,3492.41,0.54971,0.99784,1.04111,0.69961,0.62253,0.68198,0.56099,0.51358,1.12589,0.97169,0.00844668,0.00844668,0.00844668
49,3563.85,0.55251,1.03023,1.03826,0.67633,0.63163,0.70241,0.59192,0.50012,1.10912,0.95758,0.00841363,0.00841363,0.00841363
50,3637.34,0.53996,0.98147,1.02579,0.78125,0.59211,0.72064,0.59874,0.49099,1.02959,0.95379,0.00838058,0.00838058,0.00838058
51,3710.14,0.54951,0.97375,1.03032,0.74379,0.63986,0.72037,0.60075,0.49615,1.07491,0.96348,0.00834753,0.00834753,0.00834753
52,3783.09,0.54139,0.95955,1.02971,0.73381,0.64541,0.71458,0.60175,0.48671,1.1066,0.95663,0.00831448,0.00831448,0.00831448
53,3856.25,0.53233,0.94972,1.02434,0.77475,0.63036,0.71961,0.60305,0.48396,1.05591,0.95234,0.00828143,0.00828143,0.00828143
54,3929.08,0.52819,0.93257,1.01569,0.76604,0.61676,0.70763,0.60013,0.48082,1.02902,0.95068,0.00824839,0.00824839,0.00824839
55,4000.86,0.5241,0.9126,1.01466,0.78295,0.65887,0.7395,0.61456,0.48684,1.03145,0.95033,0.00821534,0.00821534,0.00821534
56,4074.14,0.53333,0.90814,1.02487,0.75089,0.64704,0.74133,0.62758,0.48533,1.00984,0.94993,0.00818229,0.00818229,0.00818229
57,4147.34,0.52898,0.91313,1.02424,0.77198,0.61917,0.71135,0.6027,0.48417,1.034,0.94996,0.00814924,0.00814924,0.00814924
58,4218.89,0.52792,0.88927,1.02259,0.77123,0.67886,0.74728,0.63167,0.48272,0.97496,0.95021,0.00811619,0.00811619,0.00811619
59,4291.64,0.51806,0.85313,1.01123,0.75667,0.62157,0.70507,0.59231,0.48084,1.03674,0.94833,0.00808314,0.00808314,0.00808314
60,4363.16,0.52246,0.85691,1.01562,0.76591,0.66877,0.73657,0.62519,0.46442,0.94977,0.93845,0.00805009,0.00805009,0.00805009
61,4434.45,0.50878,0.83409,1.00872,0.76881,0.6669,0.74866,0.62909,0.47099,0.94982,0.94358,0.00801704,0.00801704,0.00801704
62,4505.99,0.50448,0.82449,0.99793,0.75223,0.66055,0.72328,0.61067,0.46888,1.03058,0.94724,0.00798399,0.00798399,0.00798399
63,4577.72,0.50354,0.80907,1.00252,0.77925,0.64672,0.74545,0.6259,0.46376,0.96443,0.94544,0.00795094,0.00795094,0.00795094
64,4648.79,0.5017,0.81741,1.00155,0.77687,0.69061,0.76313,0.64909,0.461,0.92259,0.94441,0.00791789,0.00791789,0.00791789
65,4722.07,0.50384,0.79275,0.99887,0.7412,0.67047,0.72997,0.61987,0.46438,0.97065,0.94627,0.00788484,0.00788484,0.00788484
66,4793.58,0.49986,0.79118,0.99476,0.85775,0.6669,0.76479,0.65318,0.45362,0.93152,0.93866,0.00785179,0.00785179,0.00785179
