epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3150.74,0.6988,1.88667,1.70264,0.37633,0.38516,0.36603,0.28364,0.6281,1.77076,1.58759,0.00484974,0.00484974,0.00484974
43,3225.5,0.70212,1.85297,1.69814,0.36615,0.40584,0.36907,0.28661,0.63214,1.7803,1.59354,0.00483144,0.00483144,0.00483144
44,3300.81,0.70758,1.89541,1.70253,0.43234,0.40711,0.38415,0.29572,0.63043,1.75079,1.58963,0.00481314,0.00481314,0.00481314
45,3375.6,0.69899,1.85889,1.69227,0.37927,0.45188,0.3851,0.29349,0.6302,1.74914,1.57991,0.00479484,0.00479484,0.00479484
46,3448.52,0.68532,1.82104,1.68142,0.44791,0.44153,0.38559,0.29508,0.63243,1.75774,1.58179,0.00477654,0.00477654,0.00477654
47,3521.11,0.69954,1.82632,1.68204,0.36854,0.42075,0.35918,0.27468,0.64888,1.74387,1.61137,0.00475824,0.00475824,0.00475824
48,3593.75,0.68241,1.77723,1.6781,0.39408,0.44932,0.38781,0.3058,0.62096,1.78479,1.5669,0.00473994,0.00473994,0.00473994
49,3669.51,0.68369,1.78858,1.67726,0.4506,0.4764,0.42345,0.32598,0.60124,1.64293,1.53546,0.00472164,0.00472164,0.00472164
50,3744.41,0.67889,1.75854,1.67394,0.40574,0.48902,0.41683,0.31678,0.6145,1.67251,1.57048,0.00470334,0.00470334,0.00470334
51,3817.32,0.6782,1.75109,1.66805,0.42431,0.4553,0.40185,0.30756,0.61763,1.71984,1.57278,0.00468504,0.00468504,0.00468504
52,3889.94,0.67923,1.77912,1.68261,0.40428,0.46432,0.40742,0.31608,0.60888,1.67609,1.55502,0.00466674,0.00466674,0.00466674
53,3962.23,0.66747,1.73722,1.6715,0.45162,0.44229,0.42101,0.32545,0.60278,1.68083,1.5448,0.00464845,0.00464845,0.00464845
54,4035.02,0.67016,1.73064,1.66668,0.43734,0.48214,0.43545,0.33917,0.59483,1.63268,1.54021,0.00463015,0.00463015,0.00463015
55,4110.13,0.65922,1.6895,1.63975,0.48721,0.43612,0.42932,0.33219,0.59406,1.64822,1.52936,0.00461185,0.00461185,0.00461185
56,4182.29,0.66784,1.7072,1.64847,0.48021,0.46461,0.44764,0.35114,0.5959,1.56767,1.54174,0.00459355,0.00459355,0.00459355
57,4257.32,0.66399,1.66926,1.66078,0.44338,0.46719,0.42731,0.33086,0.60138,1.6847,1.55441,0.00457525,0.00457525,0.00457525
58,4329.8,0.65862,1.68587,1.64241,0.49223,0.44705,0.42454,0.32832,0.60027,1.59618,1.53442,0.00455695,0.00455695,0.00455695
59,4402.37,0.65617,1.67115,1.64121,0.52942,0.47202,0.46431,0.35852,0.57944,1.55677,1.52067,0.00453865,0.00453865,0.00453865
60,4477.04,0.6421,1.63814,1.62571,0.57111,0.44314,0.483,0.38347,0.56552,1.53678,1.50969,0.00452035,0.00452035,0.00452035
61,4552.02,0.63339,1.59173,1.60679,0.5288,0.51686,0.50825,0.40527,0.56857,1.48927,1.4983,0.00450205,0.00450205,0.00450205
62,4627.7,0.64378,1.6137,1.61746,0.48514,0.50303,0.4748,0.37185,0.57286,1.55902,1.50442,0.00448375,0.00448375,0.00448375
63,4700.45,0.62516,1.57469,1.61084,0.5268,0.48776,0.49704,0.3871,0.57555,1.52628,1.51874,0.00446545,0.00446545,0.00446545
64,4773.36,0.63166,1.59839,1.61928,0.49206,0.51142,0.49203,0.39198,0.56358,1.5215,1.49245,0.00444716,0.00444716,0.00444716
65,4846.16,0.63758,1.55445,1.61345,0.57514,0.49006,0.51748,0.41263,0.56011,1.50475,1.4994,0.00442886,0.00442886,0.00442886
66,4921.64,0.62255,1.56767,1.60054,0.59912,0.4742,0.51977,0.40984,0.55899,1.48817,1.4938,0.00441056,0.00441056,0.00441056
